LECROYWR104MXi-A€¿;49371;Waveform
Segments;1;SegmentSize;502
Segment;TrigTime;TimeSinceSegment1
#1;01-Jan-2002 00:47:56;0                 
Time;Ampl
2.71978e-008;0.03519
2.72978e-008;0.0383899
2.73978e-008;0.0383899
2.74978e-008;0.0287903
2.75978e-008;0.0255904
2.76978e-008;0.0255904
2.77978e-008;0.0223905
2.78978e-008;0.0287903
2.79978e-008;0.0287903
2.80978e-008;0.0255904
2.81978e-008;0.0223905
2.82978e-008;0.0223905
2.83978e-008;0.0223905
2.84978e-008;0.0191907
2.85978e-008;0.0191907
2.86978e-008;0.0191907
2.87978e-008;0.0191907
2.88978e-008;0.0159908
2.89978e-008;0.0127909
2.90978e-008;0.0223905
2.91978e-008;0.0159908
2.92978e-008;0.0255904
2.93978e-008;0.0255904
2.94978e-008;0.0223905
2.95978e-008;0.00959103
2.96978e-008;0.0191907
2.97978e-008;0.0191907
2.98978e-008;0.0223905
2.99978e-008;0.0287903
3.00978e-008;0.0287903
3.01978e-008;0.0255904
3.02978e-008;0.0287903
3.03978e-008;0.0223905
3.04978e-008;0.0319902
3.05978e-008;0.0319902
3.06978e-008;0.0319902
3.07978e-008;0.03519
3.08978e-008;0.03519
3.09978e-008;0.03519
3.10978e-008;0.0319902
3.11978e-008;0.0223905
3.12978e-008;0.0127909
3.13978e-008;0.00319128
3.14978e-008;-8.60127e-006
3.15978e-008;0.00959103
3.16978e-008;0.00959103
3.17978e-008;0.0127909
3.18978e-008;0.0127909
3.19978e-008;0.00959103
3.20978e-008;-0.00320848
3.21978e-008;0.00639115
3.22978e-008;0.00319128
3.23978e-008;0.00639115
3.24978e-008;0.00959103
3.25978e-008;0.00639115
3.26978e-008;0.0191907
3.27978e-008;0.0191907
3.28978e-008;0.0223905
3.29978e-008;0.0287903
3.30978e-008;0.0319902
3.31978e-008;0.03519
3.32978e-008;0.0287903
3.33978e-008;0.0255904
3.34978e-008;0.0287903
3.35978e-008;0.0319902
3.36978e-008;0.0319902
